y;q;rate
2012;1;3,387
2012;2;3,155
2012;3;3,128
2012;4;3,171
2012;5;3,358
2012;6;3,424
2012;7;3,405
2012;8;3,294
2012;9;3,206
2012;10;3,163
2012;11;3,217
2012;12;3,116
2013;1;3,108
2013;2;3,122
2013;3;3,208
2013;4;3,175
2013;5;3,222
2013;6;3,246
2013;7;3,27
2013;8;3,177
2013;9;3,174
2013;10;3,072
2013;11;3,101
2013;12;3,048
2014;1;3,066
2014;2;3,057
2014;3;3,039
2014;4;3,03
2014;5;3,042
2014;6;3,044
2014;7;3,06
2014;8;3,147
2014;9;3,246
2014;10;3,317
2014;11;3,377
2014;12;3,427
2015;1;3,673
2015;2;3,678
2015;3;3,812
2015;4;3,734
2015;5;3,656
2015;6;3,712
2015;7;3,775
2015;8;3,767
2015;9;3,754
2015;10;3,781
2015;11;3,959
2015;12;3,942
2016;1;4,048
2016;2;3,963
2016;3;3,865
2016;4;3,799
2016;5;3,898
2016;6;3,915
2016;7;3,976
2016;8;3,839
2016;9;3,856
2016;10;3,906
2016;11;4,061
2016;12;4,204
2017;1;4,117
2017;2;4,05
2017;3;4,015
2017;4;3,958
2017;5;3,807
2017;6;3,747
2017;7;3,682
2017;8;3,611
2017;9;3,584
2017;10;3,628
2017;11;3,603
2017;12;3,551
2018;1;3,418
2018;2;3,371
2018;3;3,414
2018;4;3,416
2018;5;3,62
2018;6;3,687
2018;7;3,706
2018;8;3,713
2018;9;3,688
2018;10;3,748
2018;11;3,788
2018;12;3,768
2019;1;3,761
2019;2;3,805
2019;3;3,801
2019;4;3,814
2019;5;3,841
2019;6;3,779
2019;7;3,797
2019;8;3,905
2019;9;3,955
2019;10;3,895
2019;11;3,877
2019;12;3,845
2019;1;3,83
2020;2;3,921
2020;3;4,014
2020;4;4,181
2020;5;4,161
2020;6;3,944
2020;7;3,886
2020;8;3,72
2020;9;3,793
2020;10;3,861
2020;11;3,802
2020;12;3,681
2021;1;3,729
2021;2;3,718
2021;3;3,864
2021;4;3,82
2021;5;3,729
2021;6;3,736
2021;7;3,86
2021;8;3,882
2021;9;3,88
2021;10;3,96
2021;11;4,069
2021;12;4,085
2022;1;4,021
2022;2;4,014
2022;3;4,385
2022;4;4,295
2022;5;4,397
2022;6;4,389
2022;7;4,687
2022;8;4,66
2022;9;4,788
2022;10;4,889
2022;11;4,615
2022;12;4,422
