year;month;Value
2012;1;386448
2012;2;408966
2012;3;251841
2012;4;201740
2012;5;162497
2012;6;157772
2012;7;176898
2012;8;157010
2012;9;168897
2012;10;192634
2012;11;241249
2012;12;348691
2013;1;359931
2013;2;336309
2013;3;304457
2013;4;186271
2013;5;142570
2013;6;134836
2013;7;151829
2013;8;123520
2013;9;161431
2013;10;185585
2013;11;247117
2013;12;335318
2014;1;321945
2014;2;265254
2014;3;231497
2014;4;157088
2014;5;141732
2014;6;136817
2014;7;148095
2014;8;115557
2014;9;156972
2014;10;174993
2014;11;218580
2014;12;290322
2015;1;332194
2015;2;308153
2015;3;264643
2015;4;169966
2015;5;140780
2015;6;138343
2015;7;173393
2015;8;134074
2015;9;157277
2015;10;184480
2015;11;248603
2015;12;320764
2016;1;347929
2016;2;286283
2016;3;267690
2016;4;168021
2016;5;159068
2016;6;141580
2016;7;159677
2016;8;135598
2016;9;177356
2016;10;214694
2016;11;284340
2016;12;359588
2017;1;424472
2017;2;307772
2017;3;247307
2017;4;184214
2017;5;171831
2017;6;166040
2017;7;173927
2017;8;151333
2017;9;164859
2017;10;199531
2017;11;302134
2017;12;369799
2018;1;336194
2018;2;342062
2018;3;314477
2018;4;179832
2018;5;154343
2018;6;150838
2018;7;169621
2018;8;150952
2018;9;175756
2018;10;191338
2018;11;262814
2018;12;340387
2019;1;403784
2019;2;307239
2019;3;266396
2019;4;210921
2019;5;187528
2019;6;164859
2019;7;189814
2019;8;159029
2019;9;181584
2019;10;198842
2019;11;254965
2019;12;306476
2019;1;369265
2020;2;288265
2020;3;254965
2020;4;162610
2020;5;142608
2020;6;155981
2020;7;182270
2020;8;156591
2020;9;183718
2020;10;203683
2020;11;264795
2020;12;337315
2021;1;374256
2021;2;292513
2021;3;291009
2021;4;234736
2021;5;160593
2021;6;164480
2021;7;174157
2021;8;147866
2021;9;187223
2021;10;212065
2021;11;290817
2021;12;369989
2022;1;370829
2022;2;292303
2022;3;303657
2022;4;200713
2022;5;159982
2022;6;161239
2022;7;169278
2022;8;145161
2022;9;153695
2022;10;161354
2022;11;212522
2022;12;280873
