"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"Twilight (Twilight  #1)","Stephenie Meyer",3.59,4597666,"eng",501,2006,"Little  Brown and Company","Young Adult Fiction",94265,"Young Adult and Children Fiction"
"The Hobbit  or There and Back Again","J.R.R. Tolkien",4.27,2530894,"eng",366,2002,"Houghton Mifflin","Juvenile Fiction",32871,"Young Adult and Children Fiction"
"Angels & Demons (Robert Langdon  #1)","Dan Brown",3.89,2418736,"eng",736,2006,"Pocket Books","Fiction",21303,"Fiction"
"Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)","J.K. Rowling/Mary GrandPré",4.56,2339585,"eng",435,2004,"Scholastic Inc.","Juvenile Fiction",36325,"Young Adult and Children Fiction"
"Harry Potter and the Chamber of Secrets (Harry Potter  #2)","J.K. Rowling/Mary GrandPré",4.42,2293963,"eng",341,1999,"Arthur A. Levine Books / Scholastic Inc.","Juvenile Fiction",34692,"Young Adult and Children Fiction"
"Harry Potter and the Order of the Phoenix (Harry Potter  #5)","J.K. Rowling/Mary GrandPré",4.49,2153167,"eng",870,2004,"Scholastic Inc.","Juvenile Fiction",29221,"Young Adult and Children Fiction"
"The Fellowship of the Ring (The Lord of the Rings  #1)","J.R.R. Tolkien",4.36,2128944,"eng",398,2003,"Houghton Mifflin Harcourt","Fiction",13670,"Fiction"
"Harry Potter and the Half-Blood Prince (Harry Potter  #6)","J.K. Rowling/Mary GrandPré",4.57,2095690,"eng",652,2006,"Scholastic Inc.","Juvenile Fiction",27591,"Young Adult and Children Fiction"
"Lord of the Flies","William Golding",3.68,2036679,"eng",182,1999,"Penguin Books","Fiction",26199,"Fiction"
"Romeo and Juliet","William Shakespeare/Paul Werstine/Barbara A. Mowat",3.74,1893917,"eng",368,2004,"Simon Schuster","Drama",14637,"Arts & Culture"
"The Da Vinci Code (Robert Langdon  #2)","Dan Brown",3.84,1679706,"eng",489,2006,"Anchor","Art museum curators",35877,"Arts & Culture"
"The Alchemist","Paulo Coelho/Alan R. Clarke/Özdemir İnce",3.86,1631221,"eng",197,1993,"HarperCollins","Fiction",55843,"Fiction"
"The Giver (The Giver  #1)","Lois Lowry",4.13,1585589,"eng",208,2006,"Ember","Juvenile Fiction",56604,"Young Adult and Children Fiction"
"Jane Eyre","Charlotte Brontë/Michael Mason",4.12,1409369,"eng",532,2003,"Penguin","Fiction",27884,"Fiction"
"Eat  Pray  Love","Elizabeth Gilbert",3.55,1362264,"eng",368,2007,"Riverhead Books","Biography & Autobiography",47620,"Biography & Autobiography"
"Charlotte's Web","E.B. White/Garth Williams/Rosemary Wells",4.17,1300470,"eng",184,2001,"HarperCollinsPublishers","Juvenile Fiction",14739,"Young Adult and Children Fiction"
"Water for Elephants","Sara Gruen",4.09,1260027,"eng",335,2007,"Algonquin Books","Fiction",52759,"Fiction"
"Brave New World","Aldous Huxley",3.99,1247221,"eng",288,1998,"HarperPerennial / Perennial Classics","Fiction",20014,"Fiction"
"The Curious Incident of the Dog in the Night-Time","Mark Haddon",3.88,1054308,"eng",226,2004,"Vintage","Fiction",35537,"Fiction"
"My Sister's Keeper","Jodi Picoult",4.07,986711,"eng",423,2005,"Washington Square Press","Fiction",29652,"Fiction"
"The Shining","Stephen King",4.22,978535,"eng",659,1980,"New English Library (Hodder & Stoughton)","Boys",15105,"Social Sciences & Philosophy"
"Holes (Holes  #1)","Louis Sachar",3.96,887554,"eng",233,2000,"Scholastic","Blind",17547,"Health, Personal Development & Relationships"
"The Glass Castle","Jeannette Walls",4.27,808656,"eng",288,2006,"Scribner","Biography & Autobiography",46176,"Biography & Autobiography"
"Dracula","Bram Stoker/Nina Auerbach/David J. Skal",3.99,774987,"eng",488,1986,"Norton","Fiction",14944,"Fiction"
"The Secret Garden","Frances Hodgson Burnett",4.13,764134,"eng",331,1998,"Children's Classics","Juvenile Fiction",11796,"Young Adult and Children Fiction"
"The Picture of Dorian Gray","Oscar Wilde/Jeffrey Eugenides",4.08,760717,"eng",272,2004,"Random House: Modern Library","Fiction",17179,"Fiction"
"The Devil Wears Prada (The Devil Wears Prada  #1)","Lauren Weisberger",3.74,744569,"eng",432,2006,"Anchor Books","Fiction",7247,"Fiction"
"The Princess Bride","William Goldman",4.26,703676,"eng",456,2003,"Ballantine Books","Fiction",13878,"Fiction"
"Outlander (Outlander  #1)","Diana Gabaldon",4.23,673350,"eng",850,2005,"Dell Publishing Company","Fiction",34690,"Fiction"
"A Clash of Kings  (A Song of Ice and Fire  #2)","George R.R. Martin",4.41,638766,"eng",969,2002,"Bantam","Fiction",16535,"Fiction"
"The Sea of Monsters (Percy Jackson and the Olympians  #2)","Rick Riordan",4.24,630511,"eng",279,2006,"Hyperion Books","Juvenile Fiction",19806,"Young Adult and Children Fiction"
